ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.763011255411,0.0001,0.0001,0.237188744589,0.0001
2,0.481305332651,0.0001,0.0261192087952,0.308083162025,0.184892296529
3,0.612449784504,0.0001,0.0107730164798,0.0754669090304,0.301710289985
4,0.0001,0.0001,0.056480952381,0.0126,0.931219047619
5,0.468519801777,0.0001,0.0235481162383,0.315318174194,0.193013907791
6,0.0001,0.0001,0.390353807284,0.133465318344,0.476480874372
7,0.0434333333333,0.0001,0.120266666667,0.0117666666667,0.824933333333
8,0.0001,0.0001,0.0107904761905,0.0282904761905,0.961219047619
9,0.690794511371,0.0001,0.0001,0.0945237788355,0.214981709793
10,0.619771047154,0.0001,0.0141471995813,0.182243537179,0.184238216085
11,0.0201,0.3901,0.0501,0.0001,0.5401
12,0.57669153475,0.0001,0.0473604965725,0.25902291263,0.117325056048
13,0.35285,0.0001,0.0001,0.00152857142857,0.645921428571
14,0.468519801777,0.0001,0.0235481162383,0.315318174194,0.193013907791
15,0.627525447242,0.0001,0.0001,0.200810992472,0.171963560286
16,0.76487994228,0.0001,0.0001,0.23532005772,0.0001
17,0.0001,0.0001,0.00954444444444,0.358465079365,0.63229047619
18,0.0001,0.00152857142857,0.404957142857,0.481504761905,0.11240952381
19,0.0001,0.00470814082718,0.00949592760181,0.0245818210685,0.961614110503
20,0.372229495504,0.0001,0.126048801199,0.100159981685,0.401961721612
21,0.0001,0.0001,0.120786438876,0.0001,0.879413561124
22,0.420449660844,0.0001,0.00409975619618,0.0675833136107,0.508267269349
23,0.535615054601,0.0001,0.0289827832358,0.237441770357,0.198360391806
24,0.546054612508,0.0001,0.033797448395,0.0939891629498,0.326558776147
25,0.583971097958,0.0001,0.00854597785059,0.161639434937,0.246243489254
26,0.035706454528,0.0484317228352,0.138325264359,0.00576114641503,0.772275411863
27,0.940804709506,0.0001,0.0001,0.0001,0.0593952904938
28,0.878806525951,0.0001,0.0001,0.0462623257022,0.0752311483466
29,0.365010730865,0.0069473133357,0.0583576852953,0.398057692273,0.172126578231
30,0.413900487439,0.0001,0.0390683898714,0.317397940059,0.23003318263
31,0.453247922556,0.0001,0.063200165968,0.36268113488,0.121270776596
32,0.0001,0.0001,0.0001,0.0275490091744,0.972650990826
33,0.303793780751,0.0146088203039,0.0717545887906,0.201697978107,0.408644832048
34,0.893490801895,0.0001,0.0001,0.0120759189586,0.0947332791467
35,0.898364173705,0.0001,0.0001,0.0001,0.101835826295
36,0.0169676679182,0.0001,0.0881050479766,0.0247592192261,0.870568064879
37,0.493843244608,0.0001,0.0001,0.181489551641,0.324967203751
38,0.0001,0.0001,0.0001,0.0275490091744,0.972650990826
39,0.385212819851,0.0001,0.0418483325375,0.402567081843,0.170771765769
40,0.0198997666837,0.000223456790123,0.0196636899519,0.0425832933001,0.918129793274
41,0.409724098124,0.0001,0.0001,0.380518109668,0.210057792208
42,0.0001,0.0673088971531,0.130698650341,0.0001,0.802292452506
43,0.043401303769,0.0455721586389,0.143084161665,0.0066151160698,0.761827259858
44,0.0001,0.0495054249176,0.0001,0.0001,0.950694575082
45,0.297070469917,0.0001,0.0484188900293,0.233487746699,0.421422893355
46,0.554052438019,0.0001,0.0105654965261,0.270695018495,0.16508704696
47,0.419999521763,0.0674710651215,0.0684317906425,0.219980696738,0.224616925735
48,0.0001,0.0001,0.326285989277,0.24613802106,0.427875989662
49,0.437900957134,0.0001,0.130262249839,0.301037430709,0.131199362319
50,0.00676666666667,0.0101,0.0555285714286,0.109861904762,0.818242857143
51,0.0001,0.0001,0.0001,0.0001,1.0001
52,0.233133470185,0.0001,0.214608514877,0.436771764639,0.115886250299
53,0.243040807852,0.0236046588831,0.0853467891196,0.0001,0.648407744145
54,0.506780387517,0.0001,0.0520046222304,0.160259139392,0.281355850861
55,0.52007674651,0.0011989010989,0.0575580051719,0.154295826814,0.267370520405
56,0.0001,0.0894333333333,0.890766666667,0.0001,0.0201
57,0.43109740831,0.0001,0.0001,0.446941262412,0.122261329278
58,0.0323126825556,0.0001,0.209673824516,0.0001,0.758313492929
59,0.207657924268,0.0001,0.0001,0.187309944274,0.605332131458
60,0.880024477447,0.0001,0.0001,0.0186993422997,0.101576180253
61,0.0010756097561,0.0001,0.0351126156434,0.0626385477993,0.901573226801
62,0.369410753034,0.0001,0.0291904008853,0.422882683674,0.178916162406
63,0.0244502819682,0.0361967427201,0.124051752436,0.0105054819966,0.805295740879
64,0.540327812375,0.0001,0.0095138476087,0.0660420724018,0.384516267614
65,0.0001,0.0001,0.698385714286,0.0001,0.301814285714
66,0.627525447242,0.0001,0.0001,0.200810992472,0.171963560286
67,0.884867284086,0.0001,0.0001,0.0001,0.115332715914
68,0.00343333333333,0.0001,0.0699333333333,0.8936,0.0334333333333
69,0.0001,0.0001,0.196135867803,0.229907647774,0.574256484424
70,0.546054612508,0.0001,0.033797448395,0.0939891629498,0.326558776147
71,0.491061677212,0.0001,0.0001,0.206205311355,0.303033011433
72,0.815854060857,0.0001,0.0001,0.109462780533,0.0749831586098
73,0.590960107541,0.0001,0.0488316551753,0.146166366731,0.214441870553
74,0.0001,0.0426590172595,0.388431732324,0.147509945435,0.421799304981
75,0.310650272514,0.0001,0.0730161249866,0.113578940642,0.503154661858
76,0.919232015734,0.0001,0.0001,0.0150684651551,0.065999519111
77,0.898364173705,0.0001,0.0001,0.0001,0.101835826295
78,0.0001,0.0001,0.32403048618,0.0001,0.67616951382
79,0.171003318903,0.0001,0.174553463203,0.511408441558,0.143434776335
80,0.487013602991,0.0001,0.0001,0.0651206329898,0.448165764019
81,0.817947182816,0.00593333333333,0.0152649405311,0.0235070542914,0.137847489028
82,0.0001,0.0001,0.128981673882,0.0001,0.871218326118
83,0.00492742459939,0.0001,0.049981678533,0.0590019324753,0.886488964392
84,0.0001,0.0001,0.0126,0.0001,0.9876
